student_id,gender,age,province,college,major,total_courses,avg_score,weighted_avg_score,avg_gpa,weighted_gpa,fail_count,total_credits,library_visits,library_days,avg_visit_hour,total_online_duration,avg_online_duration,online_records,total_attendance,task_participation
pjxwzxbj986,男,23.0,53,电子工程学院,电子信息工程,116,83.70689655172414,0.0,2.96896551724138,0.0,6,177.0,0.0,0.0,0.0,4052.94,578.9914285714286,7.0,0.0,0.0
pjxyqwbj153,女,22.0,13,网络与信息安全学院,网络空间安全,117,88.2991452991453,0.0,3.301709401709402,0.0,2,151.2,0.0,0.0,0.0,7393.07,924.13375,8.0,0.0,0.0
pjxyqxbl964,女,21.0,61,电子工程学院,电磁场与无线技术,113,83.98230088495575,0.0,3.024778761061947,0.0,2,165.5,0.0,0.0,0.0,2713.06,387.58,7.0,0.0,0.0
pjxuqwbj573,男,23.0,13,计算机科学与技术学院,计算机科学与技术,111,92.49549549549549,0.0,3.6486486486486487,0.0,1,152.2,806.0,435.0,14.162531017369727,1810.03,258.5757142857143,7.0,0.0,0.0
pjxuqwbj562,女,22.0,13,机电工程学院,电气工程及其自动化,116,89.34482758620689,0.0,3.388793103448276,0.0,1,162.7,0.0,0.0,0.0,3300.13,471.44714285714286,7.0,0.0,0.0
pjxuqwbj600,男,22.0,36,机电工程学院,自动化,115,86.71304347826087,0.0,3.3069565217391306,0.0,4,152.0,0.0,0.0,0.0,2586.32,369.4742857142857,7.0,0.0,0.0
pjxyqwbk764,男,22.0,61,网络与信息安全学院,信息安全,110,91.65454545454546,0.0,3.611818181818182,0.0,1,147.5,0.0,0.0,0.0,2342.08,334.5828571428571,7.0,0.0,0.0
pjvyzxbj993,女,24.0,65,人工智能学院,智能科学与技术,127,86.07874015748031,0.0,2.5283464566929137,0.0,15,188.8,448.0,241.0,12.910714285714286,2338.4,292.3,8.0,0.0,0.0
pjxuqwbj551,男,22.0,21,机电工程学院,机器人工程,116,87.72413793103448,0.0,3.402586206896552,0.0,4,162.5,239.0,125.0,13.368200836820083,2788.5,398.35714285714283,7.0,0.0,0.0
pjwtqxbj972,女,22.0,37,光电工程学院,电子科学与技术,134,84.42537313432835,0.0,3.069402985074627,0.0,9,177.7,276.0,155.0,13.655797101449275,3049.95,381.24375,8.0,0.0,0.0
pjxwzxfj977,男,27.0,61,电子工程学院,电子信息工程（第二学士学位）,24,93.20833333333333,77.53846153846153,2.5708333333333333,2.6146853146853144,2,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjxyqxbj035,女,23.0,37,物理学院,电子信息科学与技术,122,78.68852459016394,0.0,2.834426229508197,0.0,10,160.5,0.0,0.0,0.0,3121.82,390.2275,8.0,0.0,0.0
pjxyqxbj638,男,22.0,43,物理学院,电子信息科学与技术,110,85.13636363636364,0.0,3.119090909090909,0.0,5,158.5,136.0,111.0,14.272058823529411,4077.9,582.5571428571428,7.0,0.0,0.0
pjxrqxbj942,男,22.0,33,数学与统计学院,数学与应用数学,90,92.84444444444445,0.0,3.5444444444444443,0.0,0,151.0,0.0,0.0,0.0,1499.02,214.1457142857143,7.0,0.0,0.0
pjxrqxbj978,男,22.0,53,数学与统计学院,信息与计算科学,91,86.58241758241758,0.0,3.1131868131868132,0.0,0,142.0,0.0,0.0,0.0,3705.34,529.3342857142858,7.0,0.0,0.0
pjxyqxbl709,男,23.0,65,计算机科学与技术学院,计算机科学与技术,117,82.06837606837607,0.0,3.0683760683760686,0.0,9,153.2,0.0,0.0,0.0,1654.17,275.695,6.0,0.0,0.0
pjxyqxbk596,男,22.0,62,微电子学院,集成电路设计与集成系统,110,88.01818181818182,0.0,3.3809090909090913,0.0,1,149.5,0.0,0.0,0.0,2159.58,308.51142857142855,7.0,0.0,0.0
pjxyqxbj968,男,22.0,45,电子工程学院,信息对抗技术,114,85.52631578947368,0.0,3.1385964912280704,0.0,0,151.0,0.0,0.0,0.0,2252.71,321.8157142857143,7.0,0.0,0.0
